Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
18,Alanyaspor vs Konyaspor,Alanyaspor,Konyaspor,2.0,1.0,1491.850993666253,1458.7271926848036,1510.8875071595116,1439.690679191545
18,Adana Demirspor vs Istanbul Basaksehir,Adana Demirspor,Istanbul Basaksehir,0.0,1.0,1336.3392899104042,1518.6622154531372,1313.3175168146583,1541.683988548883
18,Antalyaspor vs Eyüpspor,Antalyaspor,Eyüpspor,1.0,4.0,1463.9112923533044,1579.479759842937,1413.7622257816183,1629.628826414623
18,Galatasaray vs Göztepe,Galatasaray,Göztepe,2.0,1.0,1777.379881908571,1582.4984432076124,1786.667609605074,1573.2107155111094
18,Samsunspor vs Trabzonspor,Samsunspor,Trabzonspor,2.0,1.0,1575.9959560566679,1460.7861025368998,1589.4741555662908,1447.3079030272768
18,Kasimpasa vs Gaziantep,Kasimpasa,Gaziantep,2.0,2.0,1559.2627095188645,1503.094055391434,1541.8766884489357,1520.4800764613628
18,Bodrum vs Kayserispor,Bodrum,Kayserispor,1.0,1.0,1387.609524070075,1397.7273534209155,1377.169942211143,1408.1669352798474
18,Fenerbahçe vs Hatayspor,Fenerbahçe,Hatayspor,2.0,1.0,1726.8615620166127,1313.190042892655,1729.8261593535449,1310.2254455557227
19,Kayserispor vs Samsunspor,Kayserispor,Samsunspor,0.0,1.0,1408.1669352798474,1589.4741555662908,1385.0621482134004,1612.5789426327378
19,Hatayspor vs Çaykur Rizespor,Hatayspor,Çaykur Rizespor,1.0,2.0,1310.2254455557227,1453.078543234095,1283.9070290073862,1479.3969597824314
19,Besiktas vs Bodrum,Besiktas,Bodrum,2.0,1.0,1501.4910921320593,1377.169942211143,1514.429100494977,1364.2319338482253
19,Sivasspor vs Alanyaspor,Sivasspor,Alanyaspor,1.0,1.0,1412.0539897026981,1510.8875071595116,1411.9154971990047,1511.025999663205
19,Trabzonspor vs Antalyaspor,Trabzonspor,Antalyaspor,5.0,0.0,1447.3079030272768,1413.7622257816183,1485.3178326855705,1375.7522961233246
19,Gaziantep vs Adana Demirspor,Gaziantep,Adana Demirspor,1.0,0.0,1520.4800764613628,1313.3175168146583,1529.2262810477084,1304.5713122283128
19,Istanbul Basaksehir vs Galatasaray,Istanbul Basaksehir,Galatasaray,1.0,2.0,1541.683988548883,1786.667609605074,1523.5234992860621,1804.8280988678948
19,Konyaspor vs Fenerbahçe,Konyaspor,Fenerbahçe,2.0,3.0,1439.690679191545,1729.8261593535449,1424.6444563925997,1744.8723821524902
19,Göztepe vs Kasimpasa,Göztepe,Kasimpasa,5.0,0.0,1573.2107155111094,1541.8766884489357,1611.552049158332,1503.535354801713
20,Hatayspor vs Galatasaray,Hatayspor,Galatasaray,1.0,1.0,1283.9070290073862,1804.8280988678948,1318.43869666782,1770.296431207461
20,Istanbul Basaksehir vs Çaykur Rizespor,Istanbul Basaksehir,Çaykur Rizespor,2.0,0.0,1523.5234992860621,1479.3969597824314,1550.858044258882,1452.0624148096115
20,Gaziantep vs Bodrum,Gaziantep,Bodrum,0.0,0.0,1529.2262810477084,1364.2319338482253,1502.716003565115,1390.7422113308187
20,Besiktas vs Samsunspor,Besiktas,Samsunspor,0.0,0.0,1514.429100494977,1612.5789426327378,1514.209438797677,1612.798604330038
20,Göztepe vs Antalyaspor,Göztepe,Antalyaspor,1.0,0.0,1611.552049158332,1375.7522961233246,1619.1370586547755,1368.1672866268812
20,Konyaspor vs Kasimpasa,Konyaspor,Kasimpasa,3.0,3.0,1424.6444563925997,1503.535354801713,1422.1413144358073,1506.0384967585055
20,Adana Demirspor vs Fenerbahçe,Adana Demirspor,Fenerbahçe,0.0,4.0,1304.5713122283128,1744.8723821524902,1290.668241992918,1758.775452387885
20,Eyüpspor vs Alanyaspor,Eyüpspor,Alanyaspor,3.0,0.0,1629.628826414623,1511.025999663205,1652.8603977328708,1487.7944283449574
20,Trabzonspor vs Sivasspor,Trabzonspor,Sivasspor,4.0,0.0,1485.3178326855705,1411.9154971990047,1515.6139254439402,1381.619404440635
21,Samsunspor vs Gaziantep,Samsunspor,Gaziantep,2.0,1.0,1612.798604330038,1502.716003565115,1626.5877533308571,1488.9268545642958
21,Sivasspor vs Kayserispor,Sivasspor,Kayserispor,5.0,2.0,1381.619404440635,1385.0621482134004,1419.8932979212666,1346.7882547327688
